在	aut
兵	tuwamonopb
艶	tuyaav
艷	tuyafv
毅	tuyoly
侃	tuyorv
倔	tuyork
勁	tuyoal
強	tuyogi
彊	tuyoga
力	tuyosigp
敢	tuyosiwv
烈	tuyosihd
雄	tuyosiuf
豪	tuyosiwn
壮	tuyosidu
健	tuyosirz
毅	tuyosily
剛	tuyosidk
勁	tuyosial
勍	tuyosiwl
厳	tuyosixw
堅	tuyositk
壯	tuyosidu
幹	tuyosiuu
強	tuyosigi
彊	tuyosiga
鋼	tuyosije
驍	tuyosime
露	tuyuyk
汁	tuyudu
逵	tuzizt
辻	tuzizu
続	tuzukisd
續	tuzukisb
鼓	tuzumiuy
皷	tuzumiuy
葛	tuzuracv
綴	tuzurisy
綴	tuzurusy
茶	tyacm
着	tyakuyo
常	tyanxj
張	tyangn
著	tyoco
著	tyoyo
緒	tyoso
直	tyokuuq
全	tyonrw
鄭	tyoneq
重	tyoupa
朝	tyouuo
超	tyouzk
丁	tyouaa
蝶	tyouim
兆	tyoupd
喋	tyoukm
町	tyoutd
疔	tyoubd
寵	tyoubl
帳	tyoujn
庁	tyougd
弔	tyouga
弔	tyouva
張	tyougn
徴	tyourw
腸	tyouop
調	tyouyk
趙	tyouzo
長	tyouan
春	tyunfo
中	tyuuaa
注	tyuudw
忠	tyuuxa
仲	tyuura
虫	tyuuad
厨	tyuuic
宙	tyuuba
駐	tyuumw
得	urc
武	uvd
雨	uad
初	upd
卯	uep
兎	upd
売	uue
憂	uwa
甕	uww
賣	ubu
鵜	unb
姥	ubanv
初	ubupd
産	ubulf
腕	udeov
上	ueaa
植	uemq
薇	ueicw
魏	ueihg
偉	ueira
嗽	ugaikq
鴬	uguisunx
鶯	uguisuhn
朮	ukeramd
承	uketamawavn
美	umayd
巧	umagg
午	umaru
甘	umaca
埋	umata
甜	umapc
旨	umapo
馬	umaah
生	umarepf
厩	umayaiv
梅	umemd
海	umidd
膿	umion
嚴	umukw
云	unes
吽	unkn
運	unzb
雲	unys
唸	unakx
唸	unakx
鰻	unagiay
項	unaziga
畦	unett
畝	unewn
魚	uodh
浦	uradd
裏	urawy
裡	urapt
占	uranaiak
卜	uranaiad
卦	uranaitd
麗	uraraal
嬉	uresink
瓜	uripn
売	uriue
虚	uroha
鱗	urokoaa
粳	urumn
煩	urusaha
漆	urusidd
粳	urutimn
潤	uruudw
閏	uruumw
兔	usagidd
菟	usagicd
兎	usagipd
牛	usipa
丑	usiva
潮	usiodo
汐	usiodd
後	usirorw
艮	usitoravn
嘘	usoka
噓	usoka
獺	usoqb
鷽	usonp
薄	usucc
臼	usupa
碓	usuuf
薄	usukicc
歌	utadq
唄	utakb
詩	utayc
宴	utagebn
疑	utagupr
謡	utaiyf
転	utatais
漸	utatedj
転	utateis
台	utenask
中	utiaa
家	utibn
打	utifd
内	utiad
裡	utipt
袿	utigipt
疏	utovv
疎	utovn
掟	uttifr
写	utuba
移	utuhd
映	utuon
欝	utumc
鬱	utump
靭	utubogd
靱	utubogd
移	uturihd
窕	uturobd
写	utusiba
現	ututuwj
器	utuwakk
上	uwaaa
釉	uwagusuripa
噂	uwasakc
氏	uzipq
蛆	uziiq
渦	uzudk
踞	uzukumazk
鶉	uzuranw
堆	uzutakatf
和	wahk
把	wafv
羽	waga
倭	warn
環	wawy
話	wayk
輪	waic
侘	wabirq
詫	wabiyq
蟠	wadakamait
轍	wadatiiw
我	wagapd
分	wakabd
若	wakack
判	wakadb
井	wakasiaa
分	wakatubd
訳	wakeyn
腋	wakiod
脇	wakiol
枠	wakumu
王	wanat
湾	wandg
碗	wanuv
椀	wanmv
罠	wanasq
鰐	waniag
笑	waravd
稿	warahk
藁	waracm
童	warabela
蕨	warabicq
妾	warawaln
我	warepd
吾	warewk
割	waridb
慝	waruxk
兇	waruxe
悪	waruxa
惡	waruxa
儂	wasirn
鷲	wasinw
渡	watady
棉	watamj
亘	wataaa
亙	wataaa
綿	watasj
私	watakusihs
渡	wataridy
亘	watariaa
理	wataruwa
海	watarudd
径	watarurg
航	wataruvj
渡	watarudy
弥	watarugx
恒	wataruxa
亘	wataruaa
亙	wataruaa
済	wataruda
渉	watarudp
私	watasihs
渡	watasidy
技	wazafy
業	wazaan
厄	wazawaiiv
災	wazawaivh
禍	wazawaipk
夜	yawd
屋	yaut
箭	yavd
遣	yaza
矢	yard
殺	yaxy
輻	yait
破	yabuup
薮	yabucw
籔	yabuvw
藪	yabucw
宿	yadobb
寄	yadorikibk
櫓	yaguramo
刃	yaibadd
灸	yaitoph
族	yakarafu
輩	yakaraia
舘	yakatark
館	yakatauk
焼	yakihe
柔	yakkosm
奴	yakkony
亦	yakuwd
役	yakury
厄	yakuiv
約	yakusd
薬	yakucm
訳	yakuyn
躍	yakuzf
山	yamaka
病	yamaibn
和	yamatohk
倭	yamatorn
闇	yamimo
勇	yansl
岩	yaneu
楊	yanmp
梁	yanamd
簗	yanavm
柳	yanadime
柳	yanagime
柳	yanazime
脂	yanioo
槍	yarimk
鑓	yarijz
恥	yasaex
邸	yasikiep
社	yasiropt
和	yasuhk
安	yasubn
保	yasurm
易	yasuop
康	yasugn
泰	yasufd
靖	yasulo
寧	yasubd
定	yasusibr
安	yasusibn
保	yasusirm
康	yasusign
泰	yasusifd
恭	yasusicx
祥	yasusipy
妥	yasusivn
靖	yasusilo
廉	yasusign
雍	yasusiwf
悌	yasusixp
寧	yasusibd
雇	yatoihf
傭	yatoira
八	yatupn
奴	yatuny
鱧	yatumeunagiad
柔	yawasm
軟	yawaiq
和	yawarahk
柔	yawarasm
鏃	yaziriju
可	yodk
好	yonz
四	yoke
美	yoyd
世	yocv
夜	yowd
依	yory
余	yorh
良	yodn
善	yoyk
佳	yort
醉	yoyu
予	yosa
予	yosn
嘉	youk
寄	yobk
撚	yofh
選	yozb
隠	yoex
涎	yodaredv
淀	yododr
澱	yodody
過	yogizk
嘉	yoiuk
宵	yoibo
酔	yoiyu
横	yokomb
邪	yokosimaea
欲	yokubq
翼	yokuyb
浴	yokudk
翊	yokuly
翌	yokuyl
慾	yokuxb
嫁	yomenn
甦	yomigaeaa
甦	yomigaeaf
蘇	yomigaech
艾	yomogicx
蓬	yomogicz
四	yonke
米	yonebm
八	yoopn
和	yorihk
依	yoriry
拠	yoridokorofj
頼	yoriyukiab
丁	yoroaa
鎧	yoroijd
歓	yorokobirq
万	yorozuap
萬	yorozucd
夜	yoruwd
好	yosinz
由	yosiaa
美	yosiyd
克	yosiue
良	yosidn
善	yosiyk
吉	yosiuk
佳	yosirt
芳	yosicf
辰	yosiin
嘉	yosiuk
昌	yosioo
淑	yosidy
葭	yosicy
慶	yosigw
義	yosiyd
艶	yosiav
葦	yosica
蘆	yosicm
好	yosiminz
喜	yosimiuk
宜	yosimibq
款	yosimiuq
嘉	yosimiuk
誼	yosimiyq
縁	yosugasn
四	yotke
要	youxn
用	youpa
容	youbk
八	youpn
洋	youdy
央	youan
遥	youzv
耀	yougf
瑶	youwf
蓉	youck
幼	youvl
庸	youga
瑛	youwn
榕	youmk
曜	youof
揚	youfp
揺	youff
擁	youff
楊	yoump
様	youmd
燿	youhf
瑤	youwf
癰	youbf
葉	youcm
陽	youep
養	youyn
弱	yowagd
嬬	yowana
歯	yowavk
齡	yowais
齢	yowais
齢	yowaiis
捩	yozifq
于	yuau
油	yuda
劉	yudp
揺	yuff
湯	yudp
尿	yubariud
指	yubifo
譲	yuduruyy
故	yuewu
由	yuiaa
唯	yuikf
惟	yuixf
喩	yuikv
結	yuisk
維	yuisf
床	yukagm
牀	yukadm
由	yukariaa
朋	yukarioo
紫	yukarisv
縁	yukarisn
如	yukink
行	yukird
走	yukitr
雪	yukiye
礼	yukipv
幸	yukitu
敬	yukiwc
亨	yukiwa
侑	yukiro
裄	yukipd
夢	yumecd
弓	yumivg
尹	yunvp
英	yungucn
揺	yuraff
岼	yurieu
弛	yurugv
緩	yurusy
容	yutakabk
温	yutakadm
泰	yutakafd
浩	yutakadk
胖	yutakaoa
隆	yutakaef
裕	yutakapk
穰	yutakahy
優	yutakarw
寛	yutakabj
潤	yutakadw
禮	yutakapd
穣	yutakahy
豊	yutakaad
有	yuuuo
由	yuuaa
友	yuuuy
右	yuuuk
游	yuudz
雄	yuuuf
柳	yuume
尤	yuuud
勇	yuusl
悠	yuuxr
郁	yuueu
夕	yuupd
佑	yuurk
裕	yuupk
邑	yuukv
釉	yuupa
宥	yuubo
侑	yuuro
優	yuurw
憂	yuuwa
湧	yuudl
湯	yuudp
祐	yuupk
結	yuusk
遊	yuuzf
夕	yuubepd
佑	yuuyark
柚	yuzuma
譲	yuzuyy
遜	yuzuzz
杠	yuzurihamg
楪	yuzurihamm
襄	yuzuruwy
穰	yuzuruhy
謙	yuzuruyn
譲	yuzuruyy
讓	yuzuruyy
座	zagt
座	zatr
在	zaiut
罪	zaiss
材	zaimp
剤	zaidw
財	zaibp
坂	zakaty
酒	zakedy
崎	zakiek
算	zanvc
残	zandg
皿	zaraka
笊	zaruvv
雑	zatujf
是	zeor
税	zeihe
勢	zeilt
贅	zeibf
然	zenhp
前	zenqd
全	zenrw
千	zenpu
善	zenyk
禅	zenpa
膳	zenok
崢	zenea
銭	zenijg
薇	zenmaicw
零	zeroys
絶	zetsv
地	zitv
自	zipo
事	ziaa
次	zidr
路	zizk
字	zibz
持	zifc
激	zidw
辞	zipu
痔	zibc
児	ziae
時	zioc
杰	ziehm
堅	zientk
爺	ziife
直	zikauq
舳	zikuva
軸	zikuia
島	zimane
人	zinpn
神	zinpa
金	zinrb
静	zinfa
甚	zinqv
迅	zinzv
仁	zinre
湛	zindv
腎	zinok
軍	zinbi
陣	zinei
汁	zirudu
印	zirusiep
十	zitaa
拾	zitufk
実	zitubn
爺	zizife
爺	ziziife
族	zokufu
属	zokuud
俗	zokurk
続	zokusd
賊	zokubu
忠	zonxa
損	zonfb
像	zourn
象	zoudn
造	zouzn
臧	zouga
増	zouto
蔵	zouca
雑	zoujf
図	zukx
頭	zudb
随	zuiez
瑞	zuiwa
蕊	zuicx
隋	zuieo
髄	zuigz
塚	zukatn
付	zukerc
漬	zukedb
月	zukipe
銑	zukuje
机	zukuemj
済	zumida
狡	zuruqf
強	zuyogi
蛇	zyaiv
弱	zyakugd
姜	zyanyn
蒋	zyancc
蔣	zyancc
所	zyopj
女	zyova
除	zyoeh
助	zyoql
徐	zyorh
舒	zyora
序	zyoga
叙	zyory
恕	zyoxn
趙	zyozo
鄭	zyoneq
上	zyouaa
成	zyougv
情	zyouxo
定	zyoubr
常	zyouxj
城	zyoutv
条	zyouwm
状	zyoudq
丈	zyouan
蝶	zyouim
尉	zyouuc
襄	zyouwy
帖	zyoujk
丞	zyouva
掾	zyoufn
穰	zyouhy
乗	zyoupn
場	zyoutp
嬢	zyouny
條	zyourm
浄	zyouda
烝	zyouhv
畳	zyoutq
穣	zyouhy
誕	zyouyv
譲	zyouyy
讓	zyouyy
錠	zyoujr
傑	zyurm
樹	zyumc
熟	zyukuhw
宿	zyukubb
塾	zyukutw
准	zyundf
盾	zyunpo
巡	zyunzv
遵	zyunzq
淳	zyundz
旬	zyungo
醇	zyunyz
殉	zyundo
隼	zyunur
洵	zyundo
凖	zyunud
惇	zyunxz
準	zyunuf
潤	zyundw
純	zyunsv
絢	zyunso
諄	zyunyz
順	zyunpa
十	zyutaa
述	zyutuza
術	zyuturd
中	zyuuaa
十	zyuuaa
重	zyuupa
住	zyuurw
獣	zyuuxq
銃	zyuuje
